Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount,Location,Size,Color,Season,Review Rating,Subscription,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,58,Female,Sneakers,Footwear,18,Arkansas,S,Gold,Spring,3.7,Yes,Standard,Yes,No,48,Credit Card,Fortnightly
2,25,Male,Shoes,Footwear,15,Rhode Island,M,Olive,Winter,3.4,No,Next Day Air,No,No,38,Venmo,Monthly
3,19,Male,Shirt,Clothing,97,Arkansas,L,Green,Spring,4.9,No,Next Day Air,Yes,No,21,Credit Card,Weekly
4,65,Female,Coat,Outerwear,99,Delaware,M,Gray,Winter,4.7,No,Store Pickup,Yes,No,28,Cash,Fortnightly
5,35,Male,Dress,Clothing,70,Mississippi,XL,Violet,Spring,2.5,No,Standard,No,Yes,47,PayPal,Fortnightly
6,33,Female,Coat,Outerwear,39,Alabama,XL,Teal,Winter,3.4,No,Store Pickup,Yes,No,18,Cash,Bi-Weekly
7,32,Male,Skirt,Clothing,28,Mississippi,S,Turquoise,Fall,4.5,No,Store Pickup,No,Yes,28,Credit Card,Quarterly
8,26,Male,Dress,Clothing,79,Louisiana,M,White,Spring,4.4,Yes,Standard,No,Yes,10,PayPal,Quarterly
9,65,Male,Sunglasses,Accessories,45,Louisiana,L,Violet,Fall,4.9,Yes,Store Pickup,Yes,No,5,Bank Transfer,Monthly
10,24,Female,Pants,Clothing,38,Massachusetts,L,Pink,Fall,4.1,No,Express,Yes,No,7,PayPal,Weekly
11,61,Female,Sweater,Clothing,21,Arkansas,M,Teal,Winter,3.9,Yes,Free Shipping,No,Yes,19,Credit Card,Annually
12,65,Male,Handbag,Accessories,34,Delaware,XL,Silver,Summer,4.5,Yes,2-Day Ship,Yes,Yes,25,Credit Card,Annually
13,52,Female,Pants,Clothing,68,Arkansas,M,Green,Summer,4.6,No,Store Pickup,No,Yes,38,PayPal,Bi-Weekly
14,23,Male,Skirt,Clothing,95,Maine,L,Charcoal,Winter,3.2,No,Store Pickup,Yes,No,18,Bank Transfer,Quarterly
15,55,Female,Blouse,Clothing,52,Oregon,M,Green,Spring,4.3,Yes,Express,No,No,19,Bank Transfer,Bi-Weekly
16,45,Male,Blouse,Clothing,80,Delaware,L,Pink,Fall,5.0,No,Next Day Air,Yes,No,18,Bank Transfer,Bi-Weekly
